name,state,country
Abadia de Goiás,GO,BR
Abadia dos Dourados,MG,BR
Abadiânia,GO,BR
Abaeté,MG,BR
Abaetetuba,PA,BR
Abaiara,CE,BR
Abaíra,BA,BR
Abaré,BA,BR
Abatiá,PR,BR
Abdon Batista,SC,BR
Abelardo Luz,SC,BR
Abel Figueiredo,PA,BR
Abre-Campo,MG,BR
Abreu e Lima,PE,BR
Abreulândia,TO,BR
Acaiaca,MG,BR
Açailândia,MA,BR
Acajutiba,BA,BR
Acará,PA,BR
Acarape,CE,BR
Acaraú,CE,BR
Acari,RN,BR
Acauã,PI,BR
Aceguá,RS,BR
Acopiara,CE,BR
Acorizal,MT,BR
Acrelândia,AC,BR
Acreúna,GO,BR
Açu,RN,BR
Açucena,MG,BR
Adamantina,SP,BR
Adelândia,GO,BR
Adolfo,SP,BR
Adrianópolis,PR,BR
Adustina,BA,BR
Afogados da Ingazeira,PE,BR
Afonso Bezerra,RN,BR
Afonso Cláudio,ES,BR
Afonso Cunha,MA,BR
Afrânio,PE,BR
Afuá,PA,BR
Agrestina,PE,BR
Agricolândia,PI,BR
Agrolândia,SC,BR
Agronômica,SC,BR
Água Azul do Norte,PA,BR
Água Boa,MG,BR
Água Boa,MT,BR
Água Branca,AL,BR
Água Branca,PB,BR
Água Branca,PI,BR
Água Clara,MS,BR
Água Comprida,MG,BR
Água Doce,SC,BR
Água Doce do Maranhão,MA,BR
Água Doce do Norte,ES,BR
Água Fria,BA,BR
Água Fria de Goiás,GO,BR
Aguaí,SP,BR
Água Limpa,GO,BR
Aguanil,MG,BR
Água Nova,RN,BR
Água Preta,PE,BR
Água Santa,RS,BR
Águas Belas,PE,BR
Águas da Prata,SP,BR
Águas de Chapecó,SC,BR
Águas de Lindóia,SP,BR
Águas de Santa Bárbara,SP,BR
Águas de São Pedro,SP,BR
Águas Formosas,MG,BR
Águas Frias,SC,BR
Águas Lindas de Goiás,GO,BR
Águas Mornas,SC,BR
Águas Vermelhas,MG,BR
Agudo,RS,BR
Agudos,SP,BR
Agudos do Sul,PR,BR
Águia Branca,ES,BR
Aguiar,PB,BR
Aguiarnópolis,TO,BR
Aimorés,MG,BR
Aiquara,BA,BR
Aiuaba,CE,BR
Aiuruoca,MG,BR
Ajuricaba,RS,BR
Alagoa,MG,BR
Alagoa Grande,PB,BR
Alagoa Nova,PB,BR
Alagoinha,PB,BR
Alagoinha,PE,BR
Alagoinha do Piauí,PI,BR
Alagoinhas,BA,BR
Alambari,SP,BR
Albertina,MG,BR
